id,subtime,score,walltime,scoreQueue,qtdRecursos
w0!1669867,4234250.0,64.0,604800,555827.0,9
w0!1669871,4235243.0,48.0,300,1136237.0,1
w0!1669874,4236739.0,64.0,153,1964746.0,2
w0!1669875,4236751.0,61.0,7200,557049.0,2
w0!1669876,4236756.0,49.0,1200,603364.0,6
w0!1669877,4236760.0,49.0,76,3265465.0,5
 
Fila Jobs n:,86,Size:,7,Current time:,4236794.0
w0!1669867,4234250.0,64.0,604800,555861.0,9
w0!1669871,4235243.0,48.0,300,1136271.0,1
w0!1669874,4236739.0,64.0,153,1964780.0,2
w0!1669875,4236751.0,61.0,7200,557083.0,2
w0!1669876,4236756.0,49.0,1200,603398.0,6
w0!1669877,4236760.0,49.0,76,3265499.0,5
w0!1669878,4236794.0,49.0,163,1748513.0,26
 
Fila Jobs n:,87,Size:,7,Current time:,4236902.0
w0!1669867,4234250.0,64.0,604800,555969.0,9
w0!1669871,4235243.0,48.0,300,1136379.0,1
w0!1669874,4236739.0,64.0,153,1964888.0,2
w0!1669875,4236751.0,61.0,7200,557191.0,2
w0!1669876,4236756.0,49.0,1200,603506.0,6
w0!1669877,4236760.0,49.0,76,3265607.0,5
w0!1669878,4236794.0,49.0,163,1748621.0,26
 
Fila Jobs n:,88,Size:,7,Current time:,4237320.1
w0!1669867,4234250.0,64.0,604800,556387.0,9
w0!1669871,4235243.0,48.0,300,1136797.0,1
w0!1669874,4236739.0,64.0,153,1965306.0,2
w0!1669875,4236751.0,61.0,7200,557609.0,2
w0!1669876,4236756.0,49.0,1200,603924.0,6
w0!1669877,4236760.0,49.0,76,3266025.0,5
w0!1669878,4236794.0,49.0,163,1749039.0,26
 
Fila Jobs n:,89,Size:,4,Current time:,4237427.7
w0!1669875,4236751.0,61.0,7200,557717.0,2
w0!1669876,4236756.0,49.0,1200,604032.0,6
w0!1669877,4236760.0,49.0,76,3266133.0,5
w0!1669878,4236794.0,49.0,163,1749147.0,26
 
Fila Jobs n:,90,Size:,3,Current time:,4237473.1
w0!1669876,4236756.0,49.0,1200,604077.0,6
w0!1669877,4236760.0,49.0,76,3266178.0,5
w0!1669878,4236794.0,49.0,163,1749192.0,26
 
Fila Jobs n:,91,Size:,3,Current time:,4238174.8
w0!1669876,4236756.0,49.0,1200,604779.0,6
w0!1669877,4236760.0,49.0,76,3266880.0,5
w0!1669878,4236794.0,49.0,163,1749894.0,26
 
Fila Jobs n:,92,Size:,2,Current time:,4238195.2
w0!1669877,4236760.0,49.0,76,3266900.0,5
w0!1669878,4236794.0,49.0,163,1749915.0,26
 
Fila Jobs n:,93,Size:,2,Current time:,4247811.0
w0!1669932,4247723.0,0.0,7200,30088.0,20
w0!1669933,4247811.0,49.0,180,1623360.0,39
 
Fila Jobs n:,94,Size:,3,Current time:,4247819.0
w0!1669932,4247723.0,0.0,7200,30096.0,20
w0!1669933,4247811.0,49.0,180,1623368.0,39
w0!1669934,4247819.0,49.0,120,2223360.0,39
 
Fila Jobs n:,95,Size:,4,Current time:,4247822.0
