id,subtime,score,walltime,scoreQueue,qtdRecursos
Fila Jobs n:,57,Size:,3,Current time:,3820995.2
w0!1663258,3776147.0,16.0,359400,183689.0,20
w0!1663298,3817962.0,13.0,3600,175353.0,20
w0!1663301,3818432.0,0.0,16200,15897.0,5
 
Fila Jobs n:,58,Size:,3,Current time:,3826333.0
w0!1663298,3817962.0,13.0,3600,180691.0,20
w0!1663301,3818432.0,0.0,16200,21234.0,5
w0!1663316,3826333.0,0.0,359400,601.0,1
 
Fila Jobs n:,59,Size:,4,Current time:,3826619.0
w0!1663317,3826619.0,60.0,359400,519001.0,1
w0!1663298,3817962.0,13.0,3600,180977.0,20
w0!1663301,3818432.0,0.0,16200,21520.0,5
w0!1663316,3826333.0,0.0,359400,887.0,1
 
Fila Jobs n:,60,Size:,3,Current time:,3826699.5
w0!1663298,3817962.0,13.0,3600,181058.0,20
w0!1663301,3818432.0,0.0,16200,21601.0,5
w0!1663316,3826333.0,0.0,359400,968.0,1
 
Fila Jobs n:,61,Size:,4,Current time:,3827120.0
w0!1663322,3827120.0,56.0,359400,484441.0,1
w0!1663298,3817962.0,13.0,3600,181478.0,20
w0!1663301,3818432.0,0.0,16200,22021.0,5
w0!1663316,3826333.0,0.0,359400,1388.0,1
 
Fila Jobs n:,62,Size:,3,Current time:,3827132.5
w0!1663298,3817962.0,13.0,3600,181490.0,20
w0!1663301,3818432.0,0.0,16200,22034.0,5
w0!1663316,3826333.0,0.0,359400,1401.0,1
 
Fila Jobs n:,63,Size:,4,Current time:,3827166.0
w0!1663323,3827166.0,52.0,1200,629280.0,20
w0!1663298,3817962.0,13.0,3600,181524.0,20
w0!1663301,3818432.0,0.0,16200,22067.0,5
w0!1663316,3826333.0,0.0,359400,1434.0,1
 
Fila Jobs n:,64,Size:,5,Current time:,3827574.0
w0!1663323,3827166.0,52.0,1200,629688.0,20
w0!1663333,3827574.0,49.0,359400,423961.0,20
w0!1663298,3817962.0,13.0,3600,181932.0,20
w0!1663301,3818432.0,0.0,16200,22475.0,5
w0!1663316,3826333.0,0.0,359400,1842.0,1
 
Fila Jobs n:,65,Size:,6,Current time:,3827638.0
w0!1663323,3827166.0,52.0,1200,629752.0,20
w0!1663333,3827574.0,49.0,359400,424025.0,20
w0!1663335,3827638.0,45.0,359400,389401.0,28
w0!1663298,3817962.0,13.0,3600,181996.0,20
w0!1663301,3818432.0,0.0,16200,22539.0,5
w0!1663316,3826333.0,0.0,359400,1906.0,1
 
Fila Jobs n:,66,Size:,6,Current time:,3833171.2
w0!1663323,3827166.0,52.0,1200,635285.0,20
w0!1663333,3827574.0,49.0,359400,429558.0,20
w0!1663335,3827638.0,45.0,359400,394934.0,28
w0!1663298,3817962.0,13.0,3600,187529.0,20
w0!1663301,3818432.0,0.0,16200,28073.0,5
w0!1663316,3826333.0,0.0,359400,7439.0,1
 
Fila Jobs n:,67,Size:,6,Current time:,3833214.2
w0!1663323,3827166.0,52.0,1200,635328.0,20
w0!1663333,3827574.0,49.0,359400,429601.0,20
w0!1663335,3827638.0,45.0,359400,394977.0,28
w0!1663298,3817962.0,13.0,3600,187572.0,20
w0!1663301,3818432.0,0.0,16200,28116.0,5
w0!1663316,3826333.0,0.0,359400,7482.0,1
 
Fila Jobs n:,68,Size:,6,Current time:,3833246.8
w0!1663323,3827166.0,52.0,1200,635361.0,20
w0!1663333,3827574.0,49.0,359400,429634.0,20
w0!1663335,3827638.0,45.0,359400,395010.0,28
w0!1663298,3817962.0,13.0,3600,187605.0,20
w0!1663301,3818432.0,0.0,16200,28148.0,5
w0!1663316,3826333.0,0.0,359400,7515.0,1
 
Fila Jobs n:,69,Size:,7,Current time:,3837273.0
w0!1663323,3827166.0,52.0,1200,639387.0,20
w0!1663333,3827574.0,49.0,359400,433660.0,20
w0!1663335,3827638.0,45.0,359400,399036.0,28
w0!1663398,3837273.0,41.0,359400,354841.0,2
w0!1663298,3817962.0,13.0,3600,191631.0,20
w0!1663301,3818432.0,0.0,16200,32174.0,5
w0!1663316,3826333.0,0.0,359400,11541.0,1
 
Fila Jobs n:,70,Size:,7,Current time:,3859064.7
w0!1663323,3827166.0,52.0,1200,661179.0,20
w0!1663333,3827574.0,49.0,359400,455452.0,20
w0!1663335,3827638.0,45.0,359400,420828.0,28
w0!1663398,3837273.0,41.0,359400,376633.0,2
w0!1663298,3817962.0,13.0,3600,213423.0,20
w0!1663301,3818432.0,0.0,16200,53966.0,5
w0!1663316,3826333.0,0.0,359400,33333.0,1
 
Fila Jobs n:,71,Size:,6,Current time:,3859107.7
w0!1663333,3827574.0,49.0,359400,455495.0,20
w0!1663335,3827638.0,45.0,359400,420871.0,28
w0!1663398,3837273.0,41.0,359400,376676.0,2
w0!1663298,3817962.0,13.0,3600,213466.0,20
w0!1663301,3818432.0,0.0,16200,54009.0,5
w0!1663316,3826333.0,0.0,359400,33376.0,1
 
Fila Jobs n:,72,Size:,5,Current time:,3859137.2
w0!1663335,3827638.0,45.0,359400,420900.0,28
w0!1663398,3837273.0,41.0,359400,376705.0,2
w0!1663298,3817962.0,13.0,3600,213495.0,20
w0!1663301,3818432.0,0.0,16200,54039.0,5
w0!1663316,3826333.0,0.0,359400,33405.0,1
 
