id,subtime,score,walltime,scoreQueue,qtdRecursos
w0!1663335,3827638.0,45.0,359400,399036.0,28
w0!1663398,3837273.0,41.0,359400,354841.0,2
 
Fila Jobs n:,65,Size:,9,Current time:,3838168.4
w0!1663298,3817962.0,13.0,3600,192526.0,20
w0!1663301,3818432.0,0.0,16200,33070.0,5
w0!1663316,3826333.0,0.0,359400,12436.0,1
w0!1663317,3826619.0,60.0,359400,530550.0,1
w0!1663322,3827120.0,56.0,359400,495489.0,1
w0!1663323,3827166.0,52.0,1200,640282.0,20
w0!1663333,3827574.0,49.0,359400,434555.0,20
w0!1663335,3827638.0,45.0,359400,399931.0,28
w0!1663398,3837273.0,41.0,359400,355736.0,2
 
Fila Jobs n:,66,Size:,9,Current time:,3838515.0
w0!1663298,3817962.0,13.0,3600,192873.0,20
w0!1663301,3818432.0,0.0,16200,33416.0,5
w0!1663316,3826333.0,0.0,359400,12783.0,1
w0!1663317,3826619.0,60.0,359400,530897.0,1
w0!1663322,3827120.0,56.0,359400,495836.0,1
w0!1663323,3827166.0,52.0,1200,640629.0,20
w0!1663333,3827574.0,49.0,359400,434902.0,20
w0!1663335,3827638.0,45.0,359400,400278.0,28
w0!1663398,3837273.0,41.0,359400,356083.0,2
 
Fila Jobs n:,67,Size:,9,Current time:,3840379.4
w0!1663298,3817962.0,13.0,3600,194737.0,20
w0!1663301,3818432.0,0.0,16200,35281.0,5
w0!1663316,3826333.0,0.0,359400,14647.0,1
w0!1663317,3826619.0,60.0,359400,532761.0,1
w0!1663322,3827120.0,56.0,359400,497700.0,1
w0!1663323,3827166.0,52.0,1200,642493.0,20
w0!1663333,3827574.0,49.0,359400,436766.0,20
w0!1663335,3827638.0,45.0,359400,402142.0,28
w0!1663398,3837273.0,41.0,359400,357947.0,2
 
Fila Jobs n:,68,Size:,9,Current time:,3859064.7
w0!1663298,3817962.0,13.0,3600,213423.0,20
w0!1663301,3818432.0,0.0,16200,53966.0,5
w0!1663316,3826333.0,0.0,359400,33333.0,1
w0!1663317,3826619.0,60.0,359400,551447.0,1
w0!1663322,3827120.0,56.0,359400,516386.0,1
w0!1663323,3827166.0,52.0,1200,661179.0,20
w0!1663333,3827574.0,49.0,359400,455452.0,20
w0!1663335,3827638.0,45.0,359400,420828.0,28
w0!1663398,3837273.0,41.0,359400,376633.0,2
 
Fila Jobs n:,69,Size:,4,Current time:,3859080.6
w0!1663323,3827166.0,52.0,1200,661195.0,20
w0!1663333,3827574.0,49.0,359400,455468.0,20
w0!1663335,3827638.0,45.0,359400,420844.0,28
w0!1663398,3837273.0,41.0,359400,376649.0,2
 
Fila Jobs n:,70,Size:,4,Current time:,3859166.6
w0!1663323,3827166.0,52.0,1200,661281.0,20
w0!1663333,3827574.0,49.0,359400,455554.0,20
w0!1663335,3827638.0,45.0,359400,420930.0,28
w0!1663398,3837273.0,41.0,359400,376735.0,2
 
Fila Jobs n:,71,Size:,4,Current time:,3859440.7
w0!1663323,3827166.0,52.0,1200,661555.0,20
w0!1663333,3827574.0,49.0,359400,455828.0,20
w0!1663335,3827638.0,45.0,359400,421204.0,28
w0!1663398,3837273.0,41.0,359400,377009.0,2
 
Fila Jobs n:,72,Size:,4,Current time:,3862664.7
w0!1663323,3827166.0,52.0,1200,664779.0,20
w0!1663333,3827574.0,49.0,359400,459052.0,20
w0!1663335,3827638.0,45.0,359400,424428.0,28
w0!1663398,3837273.0,41.0,359400,380233.0,2
 
Fila Jobs n:,73,Size:,3,Current time:,3862707.7
w0!1663333,3827574.0,49.0,359400,459095.0,20
w0!1663335,3827638.0,45.0,359400,424471.0,28
w0!1663398,3837273.0,41.0,359400,380276.0,2
 
Fila Jobs n:,74,Size:,2,Current time:,3862737.2
w0!1663335,3827638.0,45.0,359400,424500.0,28
w0!1663398,3837273.0,41.0,359400,380305.0,2
 
Fila Jobs n:,75,Size:,2,Current time:,4158605.0
w0!1669557,4158605.0,0.0,180,1200000.0,6
w0!1669558,4158605.0,0.0,180,1200000.0,13
 
Fila Jobs n:,76,Size:,2,Current time:,4267945.0
w0!1669864,4267936.0,63.0,604800,544686.0,10
w0!1669865,4267945.0,63.0,604800,544677.0,19
 
Fila Jobs n:,77,Size:,3,Current time:,4267952.0
w0!1669864,4267936.0,63.0,604800,544693.0,10
w0!1669865,4267945.0,63.0,604800,544684.0,19
w0!1669866,4267952.0,63.0,604800,544677.0,7
 
Fila Jobs n:,78,Size:,4,Current time:,4267963.0
w0!1669864,4267936.0,63.0,604800,544704.0,10
w0!1669865,4267945.0,63.0,604800,544695.0,19
w0!1669866,4267952.0,63.0,604800,544688.0,7
w0!1669867,4267963.0,63.0,604800,544677.0,9
 
Fila Jobs n:,79,Size:,5,Current time:,4268956.0
w0!1669864,4267936.0,63.0,604800,545697.0,10
w0!1669865,4267945.0,63.0,604800,545688.0,19
w0!1669866,4267952.0,63.0,604800,545681.0,7
w0!1669867,4267963.0,63.0,604800,545670.0,9
w0!1669871,4268956.0,45.0,300,1108800.0,1
 
Fila Jobs n:,80,Size:,5,Current time:,4269301.9
w0!1669864,4267936.0,63.0,604800,546043.0,10
w0!1669865,4267945.0,63.0,604800,546034.0,19
w0!1669866,4267952.0,63.0,604800,546027.0,7
w0!1669867,4267963.0,63.0,604800,546016.0,9
w0!1669871,4268956.0,45.0,300,1109146.0,1
 
Fila Jobs n:,81,Size:,4,Current time:,4269955.5
w0!1669865,4267945.0,63.0,604800,546688.0,19
w0!1669866,4267952.0,63.0,604800,546681.0,7
w0!1669867,4267963.0,63.0,604800,546670.0,9
w0!1669871,4268956.0,45.0,300,1109800.0,1
 
Fila Jobs n:,82,Size:,3,Current time:,4270452.0
w0!1669867,4267963.0,63.0,604800,547166.0,9
w0!1669871,4268956.0,45.0,300,1110296.0,1
w0!1669874,4270452.0,63.0,153,1956085.0,2
 
Fila Jobs n:,83,Size:,4,Current time:,4270464.0
w0!1669867,4267963.0,63.0,604800,547178.0,9
w0!1669871,4268956.0,45.0,300,1110308.0,1
w0!1669874,4270452.0,63.0,153,1956097.0,2
w0!1669875,4270464.0,59.0,7200,539760.0,2
 
Fila Jobs n:,84,Size:,5,Current time:,4270469.0
w0!1669867,4267963.0,63.0,604800,547183.0,9
w0!1669871,4268956.0,45.0,300,1110313.0,1
w0!1669874,4270452.0,63.0,153,1956102.0,2
w0!1669875,4270464.0,59.0,7200,539765.0,2
w0!1669876,4270469.0,43.0,1200,551520.0,6
 
Fila Jobs n:,85,Size:,6,Current time:,4270473.0
w0!1669867,4267963.0,63.0,604800,547187.0,9
w0!1669871,4268956.0,45.0,300,1110317.0,1
w0!1669874,4270452.0,63.0,153,1956106.0,2
w0!1669875,4270464.0,59.0,7200,539769.0,2
w0!1669876,4270469.0,43.0,1200,551524.0,6
w0!1669877,4270473.0,43.0,76,3213625.0,5
 
Fila Jobs n:,86,Size:,7,Current time:,4270507.0
w0!1669867,4267963.0,63.0,604800,547221.0,9
w0!1669871,4268956.0,45.0,300,1110351.0,1
w0!1669874,4270452.0,63.0,153,1956140.0,2
w0!1669875,4270464.0,59.0,7200,539803.0,2
w0!1669876,4270469.0,43.0,1200,551558.0,6
w0!1669877,4270473.0,43.0,76,3213659.0,5
w0!1669878,4270507.0,43.0,163,1696673.0,26
 
Fila Jobs n:,87,Size:,7,Current time:,4270615.0
w0!1669867,4267963.0,63.0,604800,547329.0,9
w0!1669871,4268956.0,45.0,300,1110459.0,1
w0!1669874,4270452.0,63.0,153,1956248.0,2
w0!1669875,4270464.0,59.0,7200,539911.0,2
w0!1669876,4270469.0,43.0,1200,551666.0,6
w0!1669877,4270473.0,43.0,76,3213767.0,5
w0!1669878,4270507.0,43.0,163,1696781.0,26
 
Fila Jobs n:,88,Size:,7,Current time:,4271033.1
w0!1669867,4267963.0,63.0,604800,547747.0,9
w0!1669871,4268956.0,45.0,300,1110877.0,1
w0!1669874,4270452.0,63.0,153,1956666.0,2
w0!1669875,4270464.0,59.0,7200,540329.0,2
w0!1669876,4270469.0,43.0,1200,552084.0,6
w0!1669877,4270473.0,43.0,76,3214185.0,5
w0!1669878,4270507.0,43.0,163,1697199.0,26
 
Fila Jobs n:,89,Size:,4,Current time:,4271140.7
w0!1669875,4270464.0,59.0,7200,540437.0,2
w0!1669876,4270469.0,43.0,1200,552192.0,6
w0!1669877,4270473.0,43.0,76,3214293.0,5
w0!1669878,4270507.0,43.0,163,1697307.0,26
 
Fila Jobs n:,90,Size:,3,Current time:,4271186.1
w0!1669876,4270469.0,43.0,1200,552237.0,6
w0!1669877,4270473.0,43.0,76,3214338.0,5
w0!1669878,4270507.0,43.0,163,1697352.0,26
 
Fila Jobs n:,91,Size:,3,Current time:,4271887.8
w0!1669876,4270469.0,43.0,1200,552939.0,6
w0!1669877,4270473.0,43.0,76,3215040.0,5
w0!1669878,4270507.0,43.0,163,1698054.0,26
 
Fila Jobs n:,92,Size:,2,Current time:,4271908.2
w0!1669877,4270473.0,43.0,76,3215060.0,5
w0!1669878,4270507.0,43.0,163,1698075.0,26
 
Fila Jobs n:,93,Size:,2,Current time:,4281524.0
w0!1669932,4281436.0,0.0,7200,30088.0,20
w0!1669933,4281524.0,43.0,180,1571520.0,39
 
Fila Jobs n:,94,Size:,3,Current time:,4281532.0
w0!1669932,4281436.0,0.0,7200,30096.0,20
w0!1669933,4281524.0,43.0,180,1571528.0,39
w0!1669934,4281532.0,43.0,120,2171520.0,39
 
